specimen_id,point_index,point_name,x,y,z,fit_x,fit_y,fit_z,theta_deg,radial_coordinate,axial_coordinate,radial_residual,axial_residual,helix_distance
orchestes_testaceus_trochanter_aligned,33,C.1.33,0.2122563,-0.001014814,-0.1006132,0.21188138739738266,-0.003892611198856366,-0.10032458714302828,-275.41620674157554,0.24945894172123415,-0.06198672980466196,0.0018216731264826813,0.0022775163180111984,0.002916431648188629
orchestes_testaceus_trochanter_aligned,34,C.1.34,0.2003655,-0.00276041,-0.05239515,0.20158502166216763,-0.00404548388460782,-0.05194906122356402,-286.8392333537726,0.2472477780106301,-0.06657420302535469,-0.00038949058412135473,0.0017849202376408989,0.0018269217744225606
otiorynchus_singularis_trochanter_aligned,1,C.1.01,0.001802146,-0.01852421,-0.3195117,0.0002690355308114026,-0.019191249749129988,-0.34223192277837794,-175.57076599970577,0.21065847832507842,0.11222682811056482,-0.022182475256577378,-0.005190537961339974,0.022781656937913414
otiorynchus_singularis_trochanter_aligned,2,C.1.02,0.04319092,0.006078848,-0.3120106,0.04905269674172821,0.004797568533532897,-0.3387375268539088,-188.92771737790616,0.20550549502529403,0.10978515831041682,-0.02733545855636177,-0.0017616549630036478,0.027392165352436916
otiorynchus_singularis_trochanter_aligned,3,C.1.03,0.08319387,0.02889471,-0.296072,0.09550918896430916,0.030513773187466203,-0.3227092158421383,-202.52870111116295,0.20346196812010933,0.10472940527378193,-0.029378985461546464,-0.0008395998264558389,0.029390980157496353
otiorynchus_singularis_trochanter_aligned,4,C.1.04,0.1194592,0.05022264,-0.271482,0.13641034386175122,0.055892863352785184,-0.2948233801839946,-216.1700161606275,0.20346255938255214,0.09846771572525137,-0.029378394199103652,-0.001105755066960024,0.02939919624727916
otiorynchus_singularis_trochanter_aligned,5,C.1.05,0.154917,0.07543775,-0.2280988,0.17669387644975587,0.08474072582186758,-0.2450165846447782,-233.42181075630248,0.20373890357888882,0.09174648238691073,-0.02910205000276697,-0.0002446016633821925,0.029103077918620195
otiorynchus_singularis_trochanter_aligned,6,C.1.06,0.1777782,0.09725631,-0.1754058,0.2011202788636374,0.10693568522255245,-0.18344121857029688,-250.57669287465126,0.20641481506302634,0.08663534859268927,-0.02642613851862946,0.0021840569977245425,0.026516238458256146
otiorynchus_singularis_trochanter_aligned,7,C.1.07,0.185697,0.112578,-0.116434,0.208150706153216,0.12000567760274523,-0.11617977727271774,-267.48834051763725,0.20981549531616403,0.0824250863163502,-0.023025458265491766,0.00540668248045498,0.023651721793145623
otiorynchus_singularis_trochanter_aligned,8,C.1.08,0.1821468,0.1161069,-0.06375495,0.20069533006018064,0.1229710839431613,-0.058703950120701905,-281.7220674920932,0.2130295834510849,0.07568054541816704,-0.01981137013057091,0.004918048589549708,0.020412682047679275
otiorynchus_singularis_trochanter_aligned,9,C.1.09,0.1687951,0.1118534,-0.01272712,0.18213360377991494,0.11820373577614415,-0.005080538008513866,-295.6875832354921,0.21652456378069637,0.06786300382465785,-0.016316389800959424,0.003238531700053007,0.016634682555104606
otiorynchus_singularis_trochanter_aligned,10,C.1.10,0.1484871,0.1021749,0.03516954,0.1546928959497208,0.10628714878127267,0.041376921641793254,-309.2370756883067,0.22321332903450142,0.05979309476543837,-0.009627624547154379,0.001123799730624602,0.00969299129554553
otiorynchus_singularis_trochanter_aligned,11,C.1.11,0.1284398,0.09028407,0.06591554,0.1304715388852861,0.09365380892192432,0.06964092090121964,-318.8648432268811,0.22750491573619372,0.05349528795100854,-0.005336037845462077,-0.0009424787906813833,0.005418631391697297
otiorynchus_singularis_trochanter_aligned,12,C.1.12,0.1058403,0.07463539,0.09298935,0.10390602809940383,0.07829191216355956,0.0925267390507002,-328.2405993653316,0.23231351462647873,0.04618815352203878,-0.0005274389551770675,-0.004128847194679416,0.004162399669475564
