specimen_id;PC1;PC2;angle_abs;angle_signed;axial_metric;axial_pitch;fit_rms;fit_radius;fit_rms_rel;axial_class;shape_regime
308_lisshorhoptrus_oryzophilus_trochanter_aligned;-0.114942395990416;-0.00400896745424111;501.891550413454;-501.891550413454;0.22163336092427;0.153304020102933;0.00871218268551542;0.26137841507462;0.0333316838080459;low;main_region
309_listronotus_trochanter_aligned;-0.0629454869724237;-0.0185295793828658;482.077575638269;-482.077575638269;0.195395092493508;0.165845670392955;0.0146758869505606;0.25370486008042;0.0578462980405996;high;main_region
310_ormiscus_saltator_trochanter_aligned;0.152985945243976;0.309594183833083;108.483455624919;-108.483455624919;0.018080683355922;0.0599692473610193;0.00124585655721784;0.222182696811582;0.00560735185546139;very low;right_region
311_neochetina_trochanter_aligned;-0.128542684859267;-0.0640178224561351;470.238909639116;-470.238909639116;0.238184938235063;0.190645474723748;0.00835705046919587;0.238910874465855;0.0349797826820573;very high;main_region
312_metapocyrtus_adspersus_trochanter_aligned;-0.095152582825037;-0.126689301857709;464.707832489199;-464.707832489199;0.208065908234283;0.15751036961404;0.0113887331139201;0.2356009458912;0.0483390806044531;high;main_region
313_sitona_hispidulus_trochanter_aligned;-0.0754283794317252;-0.0311705116613333;473.344310206527;-473.344310206527;0.219602608115907;0.17266102073703;0.0126525238541117;0.248020312687887;0.0510140629894046;high;main_region
315_trochanter_aligned;-0.0447050966994341;-0.0227670882909536;445.606800426825;-445.606800426825;0.23171496477325;0.178674632819538;0.0240897243823433;0.290153783051412;0.0830239886208027;high;main_region
316_hypera_postica_trochanter_aligned;-0.0637054057608648;-0.0586650378220322;478.268532768812;-478.268532768812;0.224016223530906;0.164978258915919;0.0184006432159472;0.247503126195528;0.074345094135945;high;main_region
317_brentus_trochanter_mirrored_aligned;-0.0416621137810174;-0.00232877363842994;479.507805408177;-479.507805408177;0.184206041960102;0.136238130862125;0.0110143226346015;0.22716260194791;0.048486513801806;low;main_region
318_car_pini_trochanter_mirrored_aligned;-0.0163459772431715;0.205849960175507;329.981362797913;-329.981362797913;0.20422808916918;0.200873924370463;0.0144468257715487;0.286666749572937;0.0503958892793494;very high;main_region
a_fallax_trochanter_aligned;-0.158330547707465;-0.0406214658491552;434.897525136205;-434.897525136205;0.203446089074706;0.187822364562992;0.00781254134847177;0.246727594238502;0.0316646436430604;high;main_region
a_frumentarium_trochanter_aligned;0.327604535971669;-0.1286802054164;133.378978496407;133.378978496407;0.00696532489573676;0.0187357056154327;0.00365562471294753;0.123983679909409;0.0294847250510598;very low;right_region
a_haematodes_trochanter_aligned;0.368144728717466;-0.151535054445991;199.520130006773;-199.520130006773;0.0147783717549633;0.0336256704894323;0.00284979279082809;0.140888200362944;0.0202273347483089;very low;right_region
a_validum_trochanter_aligned;0.354214365652051;-0.141015901414429;181.655011689453;181.655011689453;0.073845656302434;0.147935870295208;0.00349129542564993;0.16397043484992;0.0212922252041685;low;right_region
adexius_scrobipennis_trochanter_aligned;-0.14910919341641;-0.0733574551393267;448.563401372122;-448.563401372122;0.2421664267054;0.196821460425635;0.013049379598893;0.258917488763119;0.0503997611796388;very high;main_region
archarius_pyrrhoceras_trochanter_aligned;-0.0659285884489718;0.000350457901612617;459.378430087586;-459.378430087586;0.193293326284972;0.183281338158766;0.0152363694854718;0.250572010789712;0.0608063503878677;high;main_region
b_porcatus_trochanter_aligned;-0.0473716708100317;0.0727761640377067;494.863353749467;-494.863353749467;0.289342847017217;0.206612640246647;0.0212220691620707;0.288857469799957;0.0734689990075993;very high;main_region
barypeithes_araneiformis_trochanter_aligned;-0.0420506864192992;-0.0700811479287592;358.556270237561;-358.556270237561;0.194339911088486;0.193546012517807;0.0125418999667038;0.248624854456057;0.0504450771590919;very high;main_region
brachysomus_hirtus_trochanter_aligned;-0.0775684233332053;-0.0456650335306578;416.127476951753;-416.127476951753;0.210959258775188;0.189129976347448;0.00938491941206104;0.258978014679896;0.0362382861868065;very high;main_region
c_cinctus_trochanter_aligned;-0.126551604936216;-0.00554538821831482;465.149193190339;-465.149193190339;0.175339855303034;0.140229360535762;0.00889452183781863;0.243348303313708;0.0365505808616731;low;main_region
c_glandium_trochanter_aligned;-0.0564670424908728;-0.0373333150927553;450.945138572189;-450.945138572189;0.185228869523417;0.159300028371838;0.0139882486380772;0.248206954597068;0.0563571986159103;high;main_region
c_tuberculosus_trochanter_aligned;-0.0964193735058568;0.03352503210052;390.339199957635;-390.339199957635;0.140894851085053;0.126087259057424;0.0104549671972895;0.277356433576527;0.0376950592509144;very low;main_region
cleopus_solani_trochanter_aligned;-0.0544041482733306;0.0612124685892034;380.728832607525;-380.728832607525;0.105865388244331;0.0931829360135498;0.00925529509084306;0.242560470064439;0.0381566505390771;very low;main_region
coenorhinus_pauxillus_trochanter_aligned;0.0761672310840334;0.00474668842957797;220.652212346958;-220.652212346958;0.192019344791076;0.340846165757507;0.0105843616021127;0.264266542000708;0.0400518413037862;very high;main_region
dorytomus_taeniatus_trochanter_aligned;-0.0326158143968168;-0.0127834828301754;407.03645894147;-407.03645894147;0.166755953508515;0.152570959007087;0.00728977295041594;0.226671555668602;0.0321600693519469;low;main_region
e_hypocrita_trochanter_aligned;-0.116484859436193;0.0241851842231804;423.12840642545;-423.12840642545;0.212244277000985;0.164847677952663;0.016351107806282;0.265436768474649;0.0616007642808673;high;main_region
e_micros_trochanter_aligned;-0.142620611024974;0.00942773522080704;413.299009301833;-413.299009301833;0.238611079748995;0.199534200020742;0.0100937400206486;0.260724665823268;0.0387141737770627;very high;main_region
hylesinus_crenatus_trochanter_aligned;-0.0478581808820431;0.0184438701896741;414.988409922935;-414.988409922935;0.160202085208508;0.14938272728888;0.0115054403375074;0.231265161931523;0.0497499936497748;low;main_region
hylurgops_palliatus_trochanter_aligned;-0.0691950587922602;0.0162682670599745;438.68599962925;-438.68599962925;0.177831333474246;0.14528162481575;0.0135546479581825;0.232773810883688;0.0582309835746748;low;main_region
larinus_turbinatus_trochanter_aligned;-0.0190959052541163;-0.0065906415668347;437.311727950693;-437.311727950693;0.193921630419506;0.160098613552322;0.012269701407014;0.248456667455847;0.0493836673117031;high;main_region
leiosoma_deflexum_trochanter_aligned;-0.0918810636351378;-0.026785395407881;467.546792977548;-467.546792977548;0.188783619247399;0.146714964954639;0.0151936187313992;0.258216819823451;0.0588405462579372;low;main_region
leperisinus_fraxini_trochanter_aligned;-0.0166494205231521;-0.00861336139240021;405.430862277956;-405.430862277956;0.172285416247199;0.134913869883809;0.0112818200626021;0.245615679350623;0.0459328170433981;very low;main_region
limnobaris_t_trochanter_aligned;-0.117001451805103;-0.0376818486887545;438.727529709366;-438.727529709366;0.212377620568597;0.174846525091371;0.00762833386231548;0.256351827194306;0.0297572829724107;high;main_region
n_marmoratus_trochanter_aligned;0.283531045285562;-0.125909326317488;220.575964165922;-220.575964165922;0.0239269648925057;0.0345976583637406;0.00833211364407639;0.170147296291981;0.0489700032010975;very low;right_region
n_quadrimaculatus_trochanter_mirrored_aligned;-0.0559955574833245;0.0405694919795606;478.391244139615;-478.391244139615;0.15868664628992;0.115366939969148;0.0102200676933232;0.239601952826563;0.042654358918022;very low;main_region
orchestes_testaceus_trochanter_aligned;-0.0859461048366218;-0.00171248647457421;381.841861085271;-381.841861085271;0.1386424691923;0.129051241896086;0.00966534462162058;0.247637268594751;0.0390302504807447;very low;main_region
otiorynchus_singularis_trochanter_aligned;-0.0414346768336522;-0.118875905007446;482.746755709623;-482.746755709623;0.211189385046835;0.158224653786162;0.014021655313594;0.232840953581656;0.0602198844228521;high;main_region
oxystoma_trochanter_aligned;0.328597067050903;-0.165589152468577;247.908281263938;247.908281263938;0.0743514416303052;0.1069323683188;0.00234541232085007;0.149739979905975;0.015663233842577;very low;right_region
p_pollinarius_trochanter_aligned;-0.056918407532713;0.0242568909756774;481.81786723596;-481.81786723596;0.181073360061334;0.134252827209483;0.0124178832757137;0.251030665287186;0.0494675949709463;very low;main_region
phyllobius_trochanter_aligned;-0.0259274579597898;-0.038563786937164;363.630209884251;-363.630209884251;0.159240540077172;0.151617287582686;0.013706866823286;0.228720397179874;0.0599284847013728;low;main_region
polydrusus_marginatus_trochanter_aligned;-0.0506846765702704;-0.081107804085691;336.995744667906;-336.995744667906;0.125064961150416;0.148778867989912;0.0166724469669928;0.235976986358823;0.0706528514676466;low;main_region
protapion_trochanter_aligned;0.306291645524178;-0.118665042631911;282.915471280065;-282.915471280065;0.071217350336165;0.0915956451411217;0.00373503389993286;0.164004870489573;0.0227739206084756;very low;right_region
rhinusa_tetra_trochanter_mirrored_aligned;0.0175221879099229;0.0150032611797372;354.274963518107;-354.274963518107;0.16686205359694;0.144233932042218;0.00961585335412028;0.212156009507937;0.0453244448574554;low;main_region
rynchites_cupreus_trochanter_aligned;0.0401377932631051;0.0473798260390129;352.7710100082;-352.7710100082;0.189391889705748;0.231377252775222;0.0115564158935337;0.272053763934977;0.0424784267873455;very high;main_region
s_capitatum_trochanter_aligned;-0.0742068952849988;-0.0753119588700183;363.680389872702;-363.680389872702;0.138912274531961;0.146631006928002;0.0134583760407443;0.250337570976281;0.0537609116692254;low;main_region
s_melanogtammum_trochanter_aligned;-0.0827832029449011;-0.0775744545914627;462.406452797533;-462.406452797533;0.17145674265935;0.161773988312239;0.0148391633637653;0.244178632529903;0.0607717522619349;high;main_region
scolytus_carpini_trochanter_aligned;0.0127153017270016;-0.0385512951887486;419.812186718312;-419.812186718312;0.194642921455878;0.133392627870203;0.0103969812322262;0.221941031232276;0.0468456921845383;very low;main_region
sibinia_pellucens_trochanter_aligned;-0.0876222515457755;-0.00594984419091435;480.148032430017;-480.148032430017;0.236978281043005;0.185188301234193;0.0186989722251715;0.250243474699107;0.0747231161478043;high;main_region
sitona_trochanter_aligned;-0.0640463834142118;-0.0638710288536071;428.023487649873;-428.023487649873;0.200537440931415;0.193159735818784;0.0161728699104486;0.25371510520122;0.0637442138008377;very high;main_region
t_plicicollis_trochanter_aligned;-0.22230192273396;-0.0635639800268776;409.335147282322;-409.335147282322;0.295827882014261;0.250644699756901;0.00836237404688664;0.242473247978936;0.0344878213023034;very high;main_region
t_pseudonasutus_trochanter_aligned;-0.223718314104746;-0.0664906030630691;376.015511119006;-376.015511119006;0.295080703446577;0.282971871422646;0.00489218966767235;0.245534300815649;0.019924668982789;very high;main_region
xylocleptes_bispinus_trochanter_aligned;-0.06221341643961;-0.0221128337690849;356.98586362615;-356.98586362615;0.206929835059461;0.184341179531643;0.00907585999899134;0.222750935887145;0.0407444303784634;high;main_region
xylosandrus_germanus_trochanter_aligned;-0.00621241224271977;0.00123927361227678;458.267102877207;-458.267102877207;0.195835035459946;0.15097467827235;0.00911857366356875;0.233755270665825;0.0390090612185793;low;main_region
