"analysis_set","model","response","subset","term","m","estimate","std_error","df","statistic","p_value","ci_low","ci_high","within_variance","between_variance","point_estimate","point_std_error","point_p_value"
"primary_adequate","pitch_full","pitch","full","PC1",200,-0.152950770976323,0.0625438528102651,100817.964326799,-2.4454964653412,0.0144669847500512,-0.275535941628259,-0.0303656003243877,0.00373794270201252,0.000172926191382668,-0.15210791600778,0.060530568090429,0.0146786502689594
"primary_adequate","pitch_full","pitch","full","PC2",200,0.00220409771275303,0.0955973658257154,47905.4485694145,0.0230560506946535,0.981605658849632,-0.185168030408544,0.18957622583405,0.00854984192394558,0.000586084008825943,0.00226980837554368,0.0915455993873654,0.980301322534005
"strict_good","angle_full","angle","full","PC1",200,-192.099547343023,138.197586641338,37927716.7788577,-1.39003547031234,0.164518114806795,-462.961848554267,78.7627538682218,19054.8258698457,43.5294364622522,-190.908701272203,137.635702124063,0.171576577769402
"strict_good","angle_full","angle","full","PC2",200,-30.9733043623503,122.145758370673,18480340.979832,-0.253576585675259,0.799822690245451,-270.374607312721,208.42799858802,14870.6277625413,48.7149506521544,-30.8487560882212,121.588713073774,0.800756941140467
"strict_good","angle_main_region","angle","PC1_lt_0.1","PC1",200,-192.099547343023,138.197586641338,37927716.7788577,-1.39003547031234,0.164518114806795,-462.961848554267,78.7627538682218,19054.8258698457,43.5294364622522,-190.908701272203,137.635702124063,0.171576577769402
"strict_good","angle_main_region","angle","PC1_lt_0.1","PC2",200,-30.9733043623503,122.145758370673,18480340.979832,-0.253576585675259,0.799822690245451,-270.374607312721,208.42799858802,14870.6277625413,48.7149506521544,-30.8487560882212,121.588713073774,0.800756941140467
"strict_good","axial_span_full","axial_span","full","PC1",200,-0.20112340379491,0.11514497477236,44413.384458246,-1.74669718928272,0.0806967907073861,-0.426809557802395,0.0245627502125747,0.0123708831578702,0.000883066723837951,-0.216773859608363,0.102493313592981,0.0394353978664562
"strict_good","axial_span_full","axial_span","full","PC2",200,-0.0205836864736496,0.100979000013315,70338.8210841812,-0.20384125878584,0.838478139534451,-0.218502295404649,0.17733492245735,0.00965439410420966,0.000539666009432275,0.0240078837687038,0.0905435864831374,0.791981892107314
"strict_good","pitch_full","pitch","full","PC1",200,-0.0374011329784125,0.132561981388102,63251.635012553,-0.28214072079168,0.777836533444615,-0.297222814088102,0.222420548131277,0.0165870155022003,0.000980759609292817,-0.0329284458651982,0.129179724034339,0.799842706095812
"strict_good","pitch_full","pitch","full","PC2",200,-0.00411987634166007,0.115633138124071,195767.548358315,-0.0356288552615391,0.971578336077792,-0.230758063711488,0.222518311028168,0.0129447172548065,0.000424184455337216,-0.00517018704340877,0.114118620083056,0.964044365394116
