"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"abs_winding_angle_deg";"-3,64432414309252e-04";"2,33479201204370e-04";"-1,5608774247529451";"1,49614501746369e-01";"PC1";"abs_winding_angle_deg";"12";"1,000000000000000";"continuous";"3,29151903842013e-01"
"(Intercept)";"1,39778097984924e-01";"9,65388765475156e-02";"1,4478943922257776";"1,78262017911565e-01";"PC1";"n_turns_abs";"12";"1,000000000000000";"continuous";"3,44014420531091e-01"
"n_turns_abs";"-1,31195669151331e-01";"8,40525124335732e-02";"-1,5608774247529464";"1,49614501746369e-01";"PC1";"n_turns_abs";"12";"1,000000000000000";"continuous";"3,29151903842013e-01"
"(Intercept)";"9,42329438129344e-02";"6,23784849234402e-02";"1,5106641966150769";"1,61808591595098e-01";"PC1";"start_end_dist";"12";"0,963175861928151";"continuous";"3,31966220810976e-01"
"start_end_dist";"-3,06119471218331e-01";"1,73304003958716e-01";"-1,7663727566920728";"1,07784666028557e-01";"PC1";"start_end_dist";"12";"0,963175861928151";"continuous";"2,75728215421890e-01"
"(Intercept)";"7,63078448007119e-02";"5,73158734825540e-02";"1,3313562223550297";"2,12624482049842e-01";"PC1";"axial_span";"12";"1,000000000000000";"continuous";"3,72379320661261e-01"
"axial_span";"-4,34297918722732e-01";"2,68573301805037e-01";"-1,6170554400005022";"1,36937804667466e-01";"PC1";"axial_span";"12";"1,000000000000000";"continuous";"3,13815802362942e-01"
"(Intercept)";"3,24791572845623e-02";"6,30812521565932e-02";"0,5148781321578068";"6,17826166573077e-01";"PC1";"axial_pitch_360";"12";"1,000000000000000";"continuous";"8,25435206571349e-01"
"axial_pitch_360";"-2,09198926718440e-01";"3,13241567909396e-01";"-0,6678517417552629";"5,19343651211372e-01";"PC1";"axial_pitch_360";"12";"1,000000000000000";"continuous";"7,14097520415637e-01"
"(Intercept)";"6,63117530979331e-02";"2,79868059363796e-01";"0,2369393393753998";"8,17487076983840e-01";"PC1";"fit_radius";"12";"1,000000000000000";"continuous";"8,73044451147791e-01"
"fit_radius";"-2,77045483656723e-01";"1,09431902854961e+00";"-0,2531670165910511";"8,05267642108624e-01";"PC1";"fit_radius";"12";"1,000000000000000";"continuous";"8,73044451147791e-01"
"(Intercept)";"1,52884519259957e-01";"1,81969741077217e-01";"0,8401645150172654";"4,20449688759318e-01";"PC2";"abs_winding_angle_deg";"12";"1,000000000000000";"continuous";"6,23203443885484e-01"
"abs_winding_angle_deg";"-1,22931800781989e-04";"4,40093683596611e-04";"-0,2793309819339917";"7,85682847648812e-01";"PC2";"abs_winding_angle_deg";"12";"1,000000000000000";"continuous";"8,73044451147791e-01"
"(Intercept)";"1,52884519259957e-01";"1,81969741077217e-01";"0,8401645150172659";"4,20449688759317e-01";"PC2";"n_turns_abs";"12";"1,000000000000000";"continuous";"6,23203443885484e-01"
"n_turns_abs";"-4,42554482815160e-02";"1,58433726094780e-01";"-0,2793309819339916";"7,85682847648812e-01";"PC2";"n_turns_abs";"12";"1,000000000000000";"continuous";"8,73044451147791e-01"
"(Intercept)";"1,75235683470259e-01";"1,17750985119460e-01";"1,4881886830286815";"1,67541943178181e-01";"PC2";"start_end_dist";"12";"1,000000000000000";"continuous";"3,35083886356362e-01"
"start_end_dist";"-2,19213906842092e-01";"3,24940444776697e-01";"-0,6746279521859412";"5,15205381263267e-01";"PC2";"start_end_dist";"12";"1,000000000000000";"continuous";"7,14097520415637e-01"
"(Intercept)";"1,43049906738027e-01";"1,08318446360292e-01";"1,3206421578667227";"2,16045592025771e-01";"PC2";"axial_span";"12";"1,000000000000000";"continuous";"3,72379320661261e-01"
"axial_span";"-2,09036748002293e-01";"5,07563455248229e-01";"-0,4118435751054260";"6,89142910555271e-01";"PC2";"axial_span";"12";"1,000000000000000";"continuous";"8,40591915743720e-01"
"(Intercept)";"1,43219102912396e-01";"1,08478752755836e-01";"1,3202502727400824";"2,16171588073838e-01";"PC2";"axial_pitch_360";"12";"1,000000000000000";"continuous";"3,72379320661261e-01"
"axial_pitch_360";"-2,22378100987108e-01";"5,38671212704237e-01";"-0,4128271489963715";"6,88445260686582e-01";"PC2";"axial_pitch_360";"12";"1,000000000000000";"continuous";"8,40591915743720e-01"
"(Intercept)";"-2,71911420550452e-01";"4,61107257902831e-01";"-0,5896923457399839";"5,68480410593929e-01";"PC2";"fit_radius";"12";"1,000000000000000";"continuous";"7,72010434139904e-01"
"fit_radius";"1,48093664341980e+00";"1,80298690630316e+00";"0,8213795886384470";"4,30576924866334e-01";"PC2";"fit_radius";"12";"1,000000000000000";"continuous";"6,23203443885484e-01"
"(Intercept)";"-3,47735759040323e-01";"1,35926823398273e-01";"-2,5582570852953528";"2,84581120229551e-02";"PC3";"abs_winding_angle_deg";"12";"0,000000000000000";"continuous";"1,24733369720149e-01"
