"response";"predictor";"n_trees";"estimate_min";"estimate_max";"estimate_median";"sign_consistent_positive";"sign_consistent_negative";"p_min";"p_max";"n_nominal_sig";"n_fdr_sig";"lambda_min";"lambda_max";"lambda_median"
"PC3";"abs_winding_angle_deg";"13";"8,01141058683021e-04";"1,18809334255077e-03";"8,01141058683021e-04";TRUE;FALSE;"2,54203433657489e-04";"0,03505691771323199";"13";"13";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC3";"axial_pitch_360";"13";"-1,23160022843723e-01";"1,98856225054591e+00";"8,00216821229521e-03";FALSE;FALSE;"2,23955574224780e-06";"0,98732842905109930";"1";"1";"0,000000000000000";"1,000000000000000";"0,000000000000000"
"PC3";"axial_span";"13";"1,12597243953933e+00";"1,28303842113239e+00";"1,22241586804717e+00";TRUE;FALSE;"4,78839339887641e-06";"0,01627063612120267";"13";"13";"0,964129287981297";"1,000000000000000";"1,000000000000000"
"PC3";"centroid_size";"13";"1,30156520368432e-04";"4,03484758571640e-04";"1,30156520368432e-04";TRUE;FALSE;"1,90090934739276e-01";"0,63989039273665371";"0";"0";"0,000000000000000";"1,000000000000000";"0,000000000000000"
"PC3";"fit_radius";"13";"-2,46575742342995e+00";"-1,20962881917914e-01";"-1,20962881917914e-01";FALSE;TRUE;"2,11186918487742e-01";"0,93652350309766985";"0";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC3";"n_turns_abs";"13";"2,88410781125888e-01";"4,27713603318278e-01";"2,88410781125888e-01";TRUE;FALSE;"2,54203433657490e-04";"0,03505691771323203";"13";"13";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC3";"start_end_dist";"13";"4,45792922288610e-01";"6,84933651022018e-01";"4,45792922288610e-01";TRUE;FALSE;"4,83085589125778e-02";"0,20506098889196192";"5";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC4";"abs_winding_angle_deg";"13";"1,48384686002033e-04";"1,86528895224195e-04";"1,48384686002033e-04";TRUE;FALSE;"6,32011298694849e-01";"0,66034816525707951";"0";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC4";"axial_pitch_360";"13";"-9,81112273288451e-01";"-7,27754919082912e-01";"-8,20694754157506e-01";FALSE;TRUE;"2,26735547776712e-03";"0,04796001455749773";"13";"13";"0,000000000000000";"1,000000000000000";"1,000000000000000"
"PC4";"axial_span";"13";"-6,66135607326836e-01";"-5,51776312667860e-01";"-6,38985164872414e-01";FALSE;TRUE;"8,06193777245094e-04";"0,25434694862818963";"6";"5";"0,000000000000000";"1,000000000000000";"1,000000000000000"
"PC4";"centroid_size";"13";"1,75087969729326e-04";"2,10853671303209e-04";"1,75087969729326e-04";TRUE;FALSE;"3,99101232354609e-01";"0,42494755853634336";"0";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC4";"fit_radius";"13";"-4,24001859567599e+00";"-2,17994373951855e+00";"-2,17994373951855e+00";FALSE;TRUE;"1,88598426300156e-03";"0,04646168698093493";"13";"13";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC4";"n_turns_abs";"13";"5,34184869607322e-02";"6,71504022807103e-02";"5,34184869607322e-02";TRUE;FALSE;"6,32011298694848e-01";"0,66034816525707818";"0";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
"PC4";"start_end_dist";"13";"-3,63555788308529e-01";"-2,69333415976676e-01";"-2,90272401420954e-01";FALSE;TRUE;"6,50036833559023e-02";"0,40744320655045663";"0";"0";"0,000000000000000";"1,000000000000000";"0,848677544678989"
"PC5";"abs_winding_angle_deg";"13";"-3,64093317346931e-04";"-2,49652482895109e-04";"-2,79752467927865e-04";FALSE;TRUE;"8,17546466531132e-02";"0,17572023575215920";"0";"0";"0,000000000000000";"0,878963092112997";"0,650044961669414"
"PC5";"axial_pitch_360";"13";"-4,17411258896396e-02";"-8,88655043207451e-03";"-3,18247712863966e-02";FALSE;TRUE;"8,58323981296266e-01";"0,97202513082180475";"0";"0";"0,000000000000000";"0,618774766982875";"0,000000000000000"
"PC5";"axial_span";"13";"-3,17983307220516e-01";"-3,00170859059430e-01";"-3,17983307220516e-01";FALSE;TRUE;"2,38676876964272e-01";"0,28905206872439865";"0";"0";"0,000000000000000";"0,000000000000000";"0,000000000000000"
