"term";"estimate";"std_error";"statistic";"p_value";"response";"predictor";"n_taxa";"lambda";"predictor_type";"fdr_p_value"
"(Intercept)";"-7,51610356619851e-02";"1,12437763373543e-01";"-0,6684679008802704";"5,16487650309793e-01";"PC3";"start_end_dist";"14";"0,000000000000000";"continuous";"0,676352875405681342"
"start_end_dist";"1,89856666045219e-01";"3,35123814368750e-01";"0,5665269309578572";"5,81476965766422e-01";"PC3";"start_end_dist";"14";"0,000000000000000";"continuous";"0,735200761313866913"
"(Intercept)";"-8,57077657566608e-02";"5,74900533573358e-02";"-1,4908277302150814";"1,61817902983200e-01";"PC3";"axial_span";"14";"1,000000000000000";"continuous";"0,315110751634153918"
"axial_span";"6,02127738775545e-01";"3,14997698732003e-01";"1,9115305959356521";"8,01086092107880e-02";"PC3";"axial_span";"14";"1,000000000000000";"continuous";"0,238160730086126537"
"(Intercept)";"9,27635294098604e-03";"5,49865954575910e-02";"0,1687020784572948";"8,68841168791885e-01";"PC3";"axial_pitch_360";"14";"0,000000000000000";"continuous";"0,954711370433152462"
"axial_pitch_360";"-1,49023045335768e-01";"3,44624187392700e-01";"-0,4324218983676742";"6,73103755460953e-01";"PC3";"axial_pitch_360";"14";"0,000000000000000";"continuous";"0,816807800512586946"
"(Intercept)";"8,08299919452873e-02";"1,47457553240958e-01";"0,5481576912727166";"5,93634514085919e-01";"PC3";"fit_radius";"14";"0,000000000000000";"continuous";"0,742043142607399009"
"fit_radius";"-3,99117472713963e-01";"6,23216250109072e-01";"-0,6404157026459288";"5,33940468490883e-01";"PC3";"fit_radius";"14";"0,000000000000000";"continuous";"0,690981782752907225"
"(Intercept)";"1,19718169494004e-01";"6,53495581852792e-02";"1,8319660119901400";"9,18778165506511e-02";"PC4";"abs_winding_angle_deg";"14";"0,896361402323925";"continuous";"0,258420860102972605"
"abs_winding_angle_deg";"-3,39735910899878e-04";"1,98964643945361e-04";"-1,7075190052016274";"1,13442714584143e-01";"PC4";"abs_winding_angle_deg";"14";"0,896361402323925";"continuous";"0,289402738503873158"
"(Intercept)";"1,19718169494010e-01";"6,53495581852866e-02";"1,8319660119900381";"9,18778165506671e-02";"PC4";"n_turns_abs";"14";"0,896361402324366";"continuous";"0,258420860102972605"
"n_turns_abs";"-1,22304927923971e-01";"7,16272718203383e-02";"-1,7075190052016369";"1,13442714584141e-01";"PC4";"n_turns_abs";"14";"0,896361402324366";"continuous";"0,289402738503873158"
"(Intercept)";"1,58749286696362e-01";"7,45662651378163e-02";"2,1289692651624099";"5,46551406668666e-02";"PC4";"start_end_dist";"14";"0,747536577222591";"continuous";"0,184350056260627365"
"start_end_dist";"-4,22715940154027e-01";"2,13319623083209e-01";"-1,9816083210926130";"7,09036445362144e-02";"PC4";"start_end_dist";"14";"0,747536577222591";"continuous";"0,216650024971766192"
"(Intercept)";"9,72385236034458e-02";"3,82886690390405e-02";"2,5396161852556918";"2,59565976767844e-02";"PC4";"axial_span";"14";"1,000000000000000";"continuous";"0,142761287222314209"
"axial_span";"-6,01165419623639e-01";"2,09790075508255e-01";"-2,8655570010507243";"1,42065129335854e-02";"PC4";"axial_span";"14";"1,000000000000000";"continuous";"0,082248232773389329"
"(Intercept)";"1,21218664027403e-01";"4,13153935237456e-02";"2,9339830433354970";"1,25110564739218e-02";"PC4";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,080024981652164442"
"axial_pitch_360";"-7,01907475312714e-01";"2,22144629016103e-01";"-3,1596869049750222";"8,22563079716874e-03";"PC4";"axial_pitch_360";"14";"1,000000000000000";"continuous";"0,064629956263468638"
"(Intercept)";"2,18172426753844e-01";"1,41421733671363e-01";"1,5427079069815033";"1,48850736153741e-01";"PC4";"fit_radius";"14";"0,900003459107374";"continuous";"0,310691505337305496"
"fit_radius";"-8,45682570809452e-01";"5,89353472810469e-01";"-1,4349327013831228";"1,76852613630180e-01";"PC4";"fit_radius";"14";"0,900003459107374";"continuous";"0,329725211852877786"
"(Intercept)";"3,81266661512948e-02";"3,38964981264474e-02";"1,1247966090499140";"2,82670832870514e-01";"PC5";"abs_winding_angle_deg";"14";"0,000000000000000";"continuous";"0,431858216885508628"
"abs_winding_angle_deg";"-9,27069680890130e-05";"9,35780121293790e-05";"-0,9906917873061698";"3,41392487182570e-01";"PC5";"abs_winding_angle_deg";"14";"0,000000000000000";"continuous";"0,489732610914815292"
"(Intercept)";"3,81266661512947e-02";"3,38964981264474e-02";"1,1247966090499124";"2,82670832870515e-01";"PC5";"n_turns_abs";"14";"0,000000000000000";"continuous";"0,431858216885508628"
"n_turns_abs";"-3,33745085120446e-02";"3,36880843665765e-02";"-0,9906917873061681";"3,41392487182570e-01";"PC5";"n_turns_abs";"14";"0,000000000000000";"continuous";"0,489732610914815292"
"(Intercept)";"1,76710429235329e-03";"5,28765806519064e-02";"0,0334194131043830";"9,73889577640285e-01";"PC5";"start_end_dist";"14";"0,000000000000000";"continuous";"0,982824344407627337"
