trait,model_type,n,estimate,std_error,t_value,p_value,r_squared,adj_r_squared,f_statistic,df_model,df_residual,response_transform,p_value_adjusted,significance_raw,significance_adjusted,p_adjust_method,trait_group
PC54,lm,68,0.00227135503438199,0.00187269421459638,1.21288089463742,0.229498744124142,0.0218031201393027,0.00698195529292855,1.47108006457647,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC55,lm,68,0.000991076880964344,0.00185988651868107,0.532869543926347,0.59591360080095,0.00428384173023557,-0.0108027667283972,0.283949950844272,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC56,lm,68,-0.000320497651830007,0.00180022169965046,-0.17803232340341,0.859242904957016,0.000480004457442584,-0.0146642378992627,0.0316955081764161,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC57,lm,68,0.00116548127836724,0.00176634501070944,0.659826518206161,0.51166122476938,0.00655330176306856,-0.00849892093749105,0.435371034128065,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC58,lm,68,0.00126689695810087,0.00168423983466465,0.752206979092808,0.454600958452065,0.00850008876945368,-0.00652263715828183,0.565815339395927,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC59,lm,68,0.00160139057995265,0.00161173105821621,0.993584240862742,0.32405417240148,0.0147372856541095,-0.000190937290525106,0.987209643690791,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC60,lm,68,0.000270835420842095,0.00159630591501579,0.169663858471273,0.865793471108912,0.00043595871878833,-0.0147089509975937,0.02878582487136,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC61,lm,68,0.00186316293561716,0.00147323709194353,1.26467283901958,0.210436184664999,0.0236599356135128,0.00886690433492965,1.59939738975384,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC62,lm,68,-0.00087634963889439,0.00138316362534346,-0.633583491379614,0.528542289202875,0.00604547300253308,-0.00901444407318608,0.401428040548781,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC63,lm,68,-0.000388192523921425,0.0013336988400018,-0.291064603400946,0.771914663709395,0.00128196964659015,-0.013850121722401,0.0847186033529497,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC64,lm,68,0.000265360767899726,0.00129490994437114,0.20492604065111,0.838260599654435,0.000635878463984355,-0.0145060021653491,0.0419946821369402,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC65,lm,68,0.000502028766360817,0.00117220929467093,0.42827570864958,0.669844833436852,0.00277139021208528,-0.0123381341786406,0.1834200826193,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC66,lm,68,-0.000478950472179323,0.00108844154926172,-0.440033249837062,0.661350711288069,0.00292519481291471,-0.0121819992050713,0.193629260962166,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
PC67,lm,68,-0.000474296287982253,0.0009458672741731,-0.501440636475021,0.617729574964901,0.00379527904021444,-0.0112987318834186,0.251442711908474,1,66,none,1,ns,ns,holm,full_atlas_shape_PC
