"tree_id";"response";"predictor";"model_type";"dropped_taxon";"term";"estimate";"p_value";"lambda";"n_taxa";"reason";"source_path";"variant_group";"note";"n_tips";"is_rooted";"is_ultrametric";"tree_height";"total_branch_length";"rf_distance_vs_reference";"fdr_p_value"
"working_tree";"PC3";"abs_winding_angle_deg";"tree_variant";NA;"abs_winding_angle_deg";"5,71316847573728e-05";"7,89233370042895e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"7,89233370042895e-01"
"working_tree";"PC3";"n_turns_abs";"tree_variant";NA;"n_turns_abs";"2,05674065126542e-02";"7,89233370042895e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"7,89233370042895e-01"
"working_tree";"PC3";"start_end_dist";"tree_variant";NA;"start_end_dist";"1,89856666045219e-01";"5,81476965766422e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"5,81476965766422e-01"
"working_tree";"PC3";"axial_span";"tree_variant";NA;"axial_span";"6,02127738775545e-01";"8,01086092107880e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,48773131391463e-01"
"working_tree";"PC3";"axial_pitch_360";"tree_variant";NA;"axial_pitch_360";"-1,49023045335768e-01";"6,73103755460953e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"6,73103755460953e-01"
"working_tree";"PC3";"fit_radius";"tree_variant";NA;"fit_radius";"-3,99117472713963e-01";"5,33940468490883e-01";"0,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"5,33940468490883e-01"
"working_tree";"PC4";"abs_winding_angle_deg";"tree_variant";NA;"abs_winding_angle_deg";"-3,39735910899878e-04";"1,13442714584143e-01";"0,896361402323925";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,88011118175899e-01"
"working_tree";"PC4";"n_turns_abs";"tree_variant";NA;"n_turns_abs";"-1,22304927923971e-01";"1,13442714584141e-01";"0,896361402324366";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"1,88011118175679e-01"
"working_tree";"PC4";"start_end_dist";"tree_variant";NA;"start_end_dist";"-4,22715940154027e-01";"7,09036445362144e-02";"0,747536577222591";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"9,56111623496971e-02"
"working_tree";"PC4";"axial_span";"tree_variant";NA;"axial_span";"-6,01165419623639e-01";"1,42065129335854e-02";"1,000000000000000";"14";NA;"C:\Users\js7541\Desktop\Weevil_Manuscript\08_Reanalysis_Work\robust_geometry_reanalysis_20260810\pcm_staging\primary_adequate\curc_fig1_withCaridae_calibrated_Grafen.tre";"working";"Primary tree used in main PCM workflow.";"14";TRUE;TRUE;"213,24785314200";"1851,62772351900003";"0";"2,30855835170763e-02"
