"specimen_key";"specimen_id";"taxon_binomial";"sampled_genus";"family";"proxy_tip";"analysis_tree_tip";"family_proxy_label";"tree_label_correction_applied";"proxy_tip_n_specimens";"exact_genus_match";"assignment_type";"assignment_rationale"
"Hypera_postica";"316_hypera_postica_trochanter_aligned";"Hypera postica";"Hypera";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Metapocyrtus_adspersus";"312_metapocyrtus_adspersus_trochanter_aligned";"Metapocyrtus adspersus";"Metapocyrtus";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Otiorhynchus_singularis";"otiorynchus_singularis_trochanter_aligned";"Otiorhynchus singularis";"Otiorhynchus";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Phyllobius";"phyllobius_trochanter_aligned";"Phyllobius";"Phyllobius";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Polydrusus_marginatus";"polydrusus_marginatus_trochanter_aligned";"Polydrusus marginatus";"Polydrusus";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Sitona";"sitona_trochanter_aligned";"Sitona";"Sitona";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Sitona_hispidulus";"313_sitona_hispidulus_trochanter_aligned";"Sitona hispidulus";"Sitona";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Strophosoma_capitatum";"s_capitatum_trochanter_aligned";"Strophosoma capitatum";"Strophosoma";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Strophosoma_melanogrammum";"s_melanogtammum_trochanter_aligned";"Strophosoma melanogrammum";"Strophosoma";"Curculionidae";"Diaprepes";"Diaprepes";"Curculionidae___Diaprepes";FALSE;12;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Scolytus_carpini";"scolytus_carpini_trochanter_aligned";"Scolytus carpini";"Scolytus";"Curculionidae";"Ips";"Ips";"Curculionidae___Ips";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Xylocleptes_bispinus";"xylocleptes_bispinus_trochanter_aligned";"Xylocleptes bispinus";"Xylocleptes";"Curculionidae";"Ips";"Ips";"Curculionidae___Ips";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Xylosandrus_germanus";"xylosandrus_germanus_trochanter_aligned";"Xylosandrus germanus";"Xylosandrus";"Curculionidae";"Ips";"Ips";"Curculionidae___Ips";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Acalles_fallax";"a_fallax_trochanter_aligned";"Acalles fallax";"Acalles";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Adexius_scrobipennis";"adexius_scrobipennis_trochanter_aligned";"Adexius scrobipennis";"Adexius";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Dorytomus_taeniatus";"dorytomus_taeniatus_trochanter_aligned";"Dorytomus taeniatus";"Dorytomus";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Larinus_turbinatus";"larinus_turbinatus_trochanter_aligned";"Larinus turbinatus";"Larinus";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;TRUE;"exact sampled-genus match";"sampled genus occurs as a tree tip"
"Trigonopterus_plicicollis";"t_plicicollis_trochanter_aligned";"Trigonopterus plicicollis";"Trigonopterus";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Trigonopterus_pseudonasutus";"t_pseudonasutus_trochanter_aligned";"Trigonopterus pseudonasutus";"Trigonopterus";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Zygops";"315_trochanter_aligned";"Zygops";"Zygops";"Curculionidae";"Larinus";"Larinus";"Curculionidae___Larinus";FALSE;7;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Coeliodes_cinctus";"c_cinctus_trochanter_aligned";"Coeliodes cinctus";"Coeliodes";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Mononychus_punctumalbum";"15_mononychus_punctumalbum_trochanter_aligned";"Mononychus punctumalbum";"Mononychus";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Nedyus_quadrimaculatus";"n_quadrimaculatus_trochanter_mirrored_aligned";"Nedyus quadrimaculatus";"Nedyus";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;TRUE;"exact sampled-genus match";"sampled genus occurs as a tree tip"
"Orchestes_testaceus";"orchestes_testaceus_trochanter_aligned";"Orchestes testaceus";"Orchestes";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Parethelcus_pollinarius";"p_pollinarius_trochanter_aligned";"Parethelcus pollinarius";"Parethelcus";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Scobinoides_dentatus";"301_scobinoides_dentatus_trochanter_aligned";"Scobinoides dentatus";"Scobinoides";"Curculionidae";"Nedyus";"Nedyus";"Curculionidae___Nedyus";FALSE;6;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Euplatypus_parallelus";"305_euplatypus_paralellus_trochanter_aligned";"Euplatypus parallelus";"Euplatypus";"Curculionidae";"Oxoplatypus";"Oxoplatypus";"Curculionidae___Oxoplatypus";FALSE;1;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Dryophthorus_corticalis";"dryophthorus_corticalis_trochanter_aligned";"Dryophthorus corticalis";"Dryophthorus";"Curculionidae";"Sitophilus";"Sitophilus";"Curculionidae___Sitophilus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Lissorhoptrus_oryzophilus";"308_lisshorhoptrus_oryzophilus_trochanter_aligned";"Lissorhoptrus oryzophilus";"Lissorhoptrus";"Curculionidae";"Sitophilus";"Sitophilus";"Curculionidae___Sitophilus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Neochetina";"311_neochetina_trochanter_aligned";"Neochetina";"Neochetina";"Curculionidae";"Sitophilus";"Sitophilus";"Curculionidae___Sitophilus";FALSE;3;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Basilogeus_dacrycarpi";"291_basilogeus_dacrycarpi_trochanter_aligned";"Basilogeus dacrycarpi";"Basilogeus";"Nemonychidae";"Rhynchitomacerinus";"Rhynchitomacerinus";"Nemonychidae___Rhynchitomacerinus";FALSE;2;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
"Cimberis_attelaboides";"c_attelaboides_trochanter_aligned";"Cimberis attelaboides";"Cimberis";"Nemonychidae";"Rhynchitomacerinus";"Rhynchitomacerinus";"Nemonychidae___Rhynchitomacerinus";FALSE;2;FALSE;"broader taxonomic proxy";"sample assigned to the documented broader taxonomic proxy"
