specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,touches_original_stack_boundary,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds
Dryophthorus_corticalis,499.5197693785502,609.4141186418312,20.91157341003418,22.069944381713867,8.549785041809082,13.198829650878906,26.258514404296875,32.868585205078126,40.44200134277344,25.51211929321289,26.925332145690916,10.430737751007081,16.102572174072264,32.03538757324219,40.09967395019531,49.33924102783203,1.22,0.75,1.6266666666666667,908249,3,3.303048052738511e-06,False,506x707x925,257x89x518,457x441x822,150x264x228,Dryophthorus_corticalis.obj,Dryophthorus_corticalis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.806675434112549
Echinodera_hypocrita,745.9316322559326,910.0365913522378,34.501502990722656,34.319414138793945,15.558292770385743,24.729536056518555,45.301822662353516,52.954546737670896,60.398677825927734,42.091835021972656,41.86968524932861,18.981117179870605,30.170033988952635,55.268223648071285,64.60454701995849,73.68638610839844,1.22,0.75,1.6266666666666667,4895194,40,0.0001025390465421161,False,658x870x1079,201x252x293,598x634x806,298x286x385,Echinodera_hypocrita.obj,Echinodera_hypocrita.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,51.46281123161316
Echinodera_micros,403.49225519209165,492.2605513343518,24.01803970336914,25.883499145507812,8.947644805908203,16.602787017822266,32.66144371032715,36.355542755126955,38.18085861206055,29.30200958251953,31.57786895751953,10.916126663208008,20.255400161743164,39.84696132659912,44.353762161254885,46.580650329589844,1.22,0.75,1.6266666666666667,869347,4,3.450854086373134e-06,False,600x413x468,144x156x122,397x383x352,190x170x172,Echinodera_micros.obj,Echinodera_micros.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.8074986934661865
Euparius_paganus,347.4492768736179,423.88811778581385,13.687261581420898,14.200974941253662,7.238260078430176,9.977753639221191,17.07499885559082,20.069470405578613,24.147695541381836,16.69845962524414,17.325189428329466,8.830677295684813,12.172859439849853,20.8314986038208,24.48475389480591,29.460189819335938,1.22,0.75,1.6266666666666667,369274,2,2.708008936425088e-06,False,253x487x421,58x165x89,213x337x357,116x129x201,Euparius_paganus.obj,Euparius_paganus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,2.353867530822754
Euplatypus_parallelus,511.47042925275747,623.9939236883641,10.3471040725708,9.098020076751709,6.316318035125732,7.562939286231995,12.773004055023193,15.889681816101074,21.827606201171875,12.623467445373535,11.099584493637085,7.705908002853393,9.226785929203034,15.583064947128296,19.38541181564331,26.629680633544922,1.22,0.75,1.6266666666666667,740284,2,9.455741053154831e-06,False,496x566x638,116x124x176,388x460x464,204x252x216,Euplatypus_parallelus.obj,Euplatypus_parallelus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.07692575454712
Hylesinus_crenatus,731.0355668502046,891.8633915572497,23.557567596435547,25.18891429901123,11.302964210510254,17.8885440826416,28.934043884277344,32.87665596008301,38.273868560791016,28.740232467651367,30.7304754447937,13.78961633682251,21.824023780822753,35.29953353881836,40.10952027130128,46.694122314453125,1.22,0.75,1.6266666666666667,3112064,6,4.819929057098271e-06,False,742x705x588,142x179x19,470x617x514,246x328x371,Hylesinus_crenatus.obj,Hylesinus_crenatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,34.202659606933594
Hylurgops_palliatus,478.3492447992366,583.5860786550686,16.26105308532715,16.99367332458496,8.0,13.223816871643066,19.082209587097168,23.38749122619629,29.814239501953125,19.838485717773438,20.73228145599365,9.76,16.133056583404542,23.280295696258545,28.532739295959473,36.373374938964844,1.22,0.75,1.6266666666666667,962296,2,3.117534155161472e-06,False,408x492x697,92x149x175,335x384x523,182x176x261,Hylurgops_palliatus.obj,Hylurgops_palliatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,8.04053521156311
Hypera_postica,753.7983815318258,919.6340254688275,25.72504997253418,26.56324005126953,12.961163520812988,19.94171714782715,32.41020202636719,35.926290130615236,42.24794387817383,31.38456153869629,32.40715286254883,15.812619495391845,24.32889492034912,39.540446472167964,43.830073959350585,51.5424919128418,1.22,0.75,1.6266666666666667,4054589,30,3.2554644326943105e-05,False,738x835x1043,152x137x186,536x635x614,288x374x321,Hypera_postica.obj,Hypera_postica.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,43.9911789894104
Larinus_turbinatus,1097.296222539748,1338.7013914984925,38.72916030883789,41.17416000366211,17.07499885559082,27.83710527420044,48.497222900390625,57.99611282348633,68.818603515625,47.249576568603516,50.232475204467775,20.8314986038208,33.961268434524534,59.166611938476564,70.75525764465331,83.95869445800781,1.22,0.75,1.6266666666666667,11825802,48,8.033217268832438e-06,False,1075x1370x961,168x360x206,737x1067x835,427x530x472,Larinus_turbinatus.obj,Larinus_turbinatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,195.2412030696869
Leiosoma_deflexum,508.0423210717784,619.8116317075696,30.975431442260742,33.83125686645508,15.456195068359374,22.920688152313232,39.47212886810303,41.44519157409668,44.14118957519531,37.7900276184082,41.274133377075195,18.856557983398435,27.963239545822145,48.15599721908569,50.56313372039795,53.85225296020508,1.22,0.75,1.6266666666666667,1875438,2,5.332059326623728e-06,False,623x701x769,205x238x282,476x505x629,203x200x260,Leiosoma_deflexum.obj,Leiosoma_deflexum.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,12.673205852508545
