specimen,bbox_diag_units,bbox_diag_um,mean_3d_thickness_vox,median_3d_thickness_vox,p10_3d_thickness_vox,p25_3d_thickness_vox,p75_3d_thickness_vox,p90_3d_thickness_vox,max_3d_thickness_vox,mean_3d_thickness_um,median_3d_thickness_um,p10_3d_thickness_um,p25_3d_thickness_um,p75_3d_thickness_um,p90_3d_thickness_um,max_3d_thickness_um,voxel_size_um,analysis_scale,effective_analysis_voxel_size_um,foreground_voxels_retained,connected_components_6n,fraction_removed_outside_largest_component,original_stack_shape_zyx,analysis_crop_start_zyx,analysis_crop_stop_zyx,analysis_crop_shape_zyx,obj_file,tif_file,thickness_definition,analysis_domain,runtime_seconds,family,Coxal wall hole,opening,opening_factor,log_size,log_median_thickness,log_p10_thickness,relative_thickness
Dorytomus_taeniatus,503.096412231294,613.777622922178,16.872631072998,17.5341892242432,8.3973913192749,13.3144998550415,20.3301105499268,23.1723491668701,33.0924644470215,20.5846099853516,21.3917108535767,10.2448174095154,16.2436898231506,24.8027348709106,28.2702659835815,40.3728065490723,1.22,0.75,1.62666666666667,1213925,2,8.23773442570896e-07,576x497x570,181x87x97,448x372x425,200x214x246,Dorytomus_taeniatus.obj,Dorytomus_taeniatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,10.6742715835571,Curculionidae,TRUE,TRUE,Present,2.78801105089514,1.33024551970733,1.01050422249841,0.914726491272472
Dryophthorus_corticalis,499.51976937855,609.414118641831,20.9115734100342,22.0699443817139,8.54978504180908,13.1988296508789,26.2585144042969,32.8685852050781,40.4420013427734,25.5121192932129,26.9253321456909,10.4307377510071,16.1025721740723,32.0353875732422,40.0996739501953,49.339241027832,1.22,0.75,1.62666666666667,908249,3,3.30304805273851e-06,506x707x925,257x89x518,457x441x822,150x264x228,Dryophthorus_corticalis.obj,Dryophthorus_corticalis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.80667543411255,Curculionidae,FALSE,FALSE,Absent,2.78491251154929,1.43016106937581,1.01831502653395,1.15797484404694
Echinodera_hypocrita,745.931632255933,910.036591352238,34.5015029907227,34.3194141387939,15.5582927703857,24.7295360565186,45.3018226623535,52.9545467376709,60.3986778259277,42.0918350219727,41.8696852493286,18.9811171798706,30.1700339889526,55.2682236480713,64.6045470199585,73.6863861083984,1.22,0.75,1.62666666666667,4895194,40,0.000102539046542116,658x870x1079,201x252x293,598x634x806,298x286x385,Echinodera_hypocrita.obj,Echinodera_hypocrita.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,51.4628112316132,Curculionidae,TRUE,TRUE,Present,2.9590588550715,1.62189969614335,1.27832177030278,1.30425550136942
Echinodera_micros,403.492255192092,492.260551334352,24.0180397033691,25.8834991455078,8.9476448059082,16.6027870178223,32.6614437103271,36.355542755127,38.1808586120605,29.3020095825195,31.5778689575195,10.916126663208,20.2554001617432,39.8469613265991,44.3537621612549,46.5806503295898,1.22,0.75,1.62666666666667,869347,4,3.45085408637313e-06,600x413x468,144x156x122,397x383x352,190x170x172,Echinodera_micros.obj,Echinodera_micros.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,5.80749869346619,Curculionidae,FALSE,FALSE,Absent,2.69219503377344,1.49938281816062,1.03806856628085,1.61249517335979
Euparius_paganus,347.449276873618,423.888117785814,13.6872615814209,14.2009749412537,7.23826007843018,9.97775363922119,17.0749988555908,20.0694704055786,24.1476955413818,16.6984596252441,17.3251894283295,8.83067729568481,12.1728594398499,20.8314986038208,24.4847538948059,29.4601898193359,1.22,0.75,1.62666666666667,369274,2,2.70800893642509e-06,253x487x421,58x165x89,213x337x357,116x129x201,Euparius_paganus.obj,Euparius_paganus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,2.35386753082275,Anthribidae,FALSE,FALSE,Absent,2.6272512428188,1.23867799175302,0.945994014392749,0.997771989569046
Euplatypus_parallelus,511.470429252757,623.993923688364,10.3471040725708,9.09802007675171,6.31631803512573,7.56293928623199,12.7730040550232,15.8896818161011,21.8276062011719,12.6234674453735,11.0995844936371,7.70590800285339,9.22678592920303,15.5830649471283,19.3854118156433,26.6296806335449,1.22,0.75,1.62666666666667,740284,2,9.45574105315483e-06,496x566x638,116x124x176,388x460x464,204x252x216,Euplatypus_parallelus.obj,Euplatypus_parallelus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.07692575454712,Curculionidae,TRUE,TRUE,Present,2.79518036064162,1.04530672153457,0.886823819874021,0.468366479258994
Hylesinus_crenatus,731.035566850205,891.86339155725,23.5575675964355,25.1889142990112,11.3029642105103,17.8885440826416,28.9340438842773,32.876655960083,38.273868560791,28.7402324676514,30.7304754447937,13.7896163368225,21.8240237808228,35.2995335388184,40.1095202713013,46.6941223144531,1.22,0.75,1.62666666666667,3112064,6,4.81992905709827e-06,742x705x588,142x179x19,470x617x514,246x328x371,Hylesinus_crenatus.obj,Hylesinus_crenatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,34.2026596069336,Curculionidae,FALSE,FALSE,Absent,2.95029833774344,1.4875692794706,1.13955218313605,0.972923752063843
Hylurgops_palliatus,478.349244799237,583.586078655069,16.2610530853271,16.993673324585,8,13.2238168716431,19.0822095870972,23.3874912261963,29.8142395019531,19.8384857177734,20.7322814559937,9.76,16.1330565834045,23.2802956962585,28.5327392959595,36.3733749389648,1.22,0.75,1.62666666666667,962296,2,3.11753415516147e-06,408x492x697,92x149x175,335x384x523,182x176x261,Hylurgops_palliatus.obj,Hylurgops_palliatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,8.04053521156311,Curculionidae,FALSE,FALSE,Absent,2.76610492332526,1.31664709607504,0.989449817666692,0.923236753427881
Hypera_postica,753.798381531826,919.634025468828,25.7250499725342,26.5632400512695,12.961163520813,19.9417171478271,32.4102020263672,35.9262901306152,42.2479438781738,31.3845615386963,32.4071528625488,15.8126194953918,24.3288949203491,39.540446472168,43.8300739593506,51.5424919128418,1.22,0.75,1.62666666666667,4054589,30,3.25546443269431e-05,738x835x1043,152x137x186,536x635x614,288x374x321,Hypera_postica.obj,Hypera_postica.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,43.9911789894104,Curculionidae,FALSE,FALSE,Absent,2.96361503132276,1.51064087767217,1.19900382047994,1.00101154485479
Larinus_turbinatus,1097.29622253975,1338.70139149849,38.7291603088379,41.1741600036621,17.0749988555908,27.8371052742004,48.4972229003906,57.9961128234863,68.818603515625,47.2495765686035,50.2324752044678,20.8314986038208,33.9612684345245,59.1666119384766,70.7552576446533,83.9586944580078,1.22,0.75,1.62666666666667,11825802,48,8.03321726883244e-06,1075x1370x961,168x360x206,737x1067x835,427x530x472,Larinus_turbinatus.obj,Larinus_turbinatus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,195.241203069687,Curculionidae,FALSE,FALSE,Absent,3.12668371481117,1.70098457854093,1.31872051392082,1.14714431746489
Leiosoma_deflexum,508.042321071778,619.81163170757,30.9754314422607,33.8312568664551,15.4561950683594,22.9206881523132,39.472128868103,41.4451915740967,44.1411895751953,37.7900276184082,41.2741333770752,18.8565579833984,27.9632395458221,48.1559972190857,50.5631337203979,53.8522529602051,1.22,0.75,1.62666666666667,1875438,2,5.33205932662373e-06,623x701x769,205x238x282,476x505x629,203x200x260,Leiosoma_deflexum.obj,Leiosoma_deflexum.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,12.6732058525085,Curculionidae,FALSE,FALSE,Absent,2.79225972217595,1.61567796325511,1.27546242089119,1.75108113931307
Leperisinus_fraxini,359.473225706728,438.557335362208,11.1753149032593,11.4312925338745,5.96284818649292,8.95114612579346,13.2589426040649,15.6243944168091,20.9973545074463,13.6338844299316,13.9461768913269,7.27467478752136,10.920398273468,16.1759099769592,19.0617611885071,25.6167736053467,1.22,0.75,1.62666666666667,356187,2,2.80750614845005e-06,330x402x479,70x88x115,265x260x373,146x129x194,Leperisinus_fraxini.obj,Leperisinus_fraxini.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,3.09908413887024,Curculionidae,FALSE,FALSE,Absent,2.64202637946639,1.14445516943336,0.861813583067996,0.781491151551972
Limnobaris,485.635665906037,592.475512405365,16.5658054351807,17.1653270721436,8.75430507659912,12.5746784210205,19.9157657623291,23.3205104827881,30.1698894500732,20.2102832794189,20.9416990280151,10.6802521934509,15.341107673645,24.2972342300415,28.4510227890015,36.8072662353516,1.22,0.75,1.62666666666667,1030035,8,1.35915864196701e-05,580x636x689,44x180x326,292x429x671,186x187x259,Limnobaris.obj,Limnobaris.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,9.17448449134827,Curculionidae,TRUE,TRUE,Present,2.77267040523573,1.32101191366366,1.02858150783589,0.921291236065865
Lissorhoptrus_oryzophilus,511.252383857523,623.727908306178,22.8450984954834,23.9543218612671,12.8083921432495,18.6666660308838,27.7213344573975,29.8040523529053,33.9411277770996,27.871021270752,29.2242726707458,15.6262384147644,22.7733325576782,33.8200280380249,36.3609438705444,41.4081764221191,1.22,0.75,1.62666666666667,281824,2,7.0965773207865e-06,555x759x691,162x440x183,367x597x330,154x118x110,Lissorhoptrus_oryzophilus.obj,Lissorhoptrus_oryzophilus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,6.99516916275024,Curculionidae,FALSE,FALSE,Absent,2.7949951767146,1.46574371131335,1.19385444620079,1.23359257941706
Listronotus,773.481738633822,943.647721133263,35.2069320678711,38.5405654907227,17.3431270599365,27.1740884780884,43.8176383972168,47.1022457122803,53.0659942626953,42.9524574279785,47.0194898986816,21.1586150131226,33.1523879432678,53.4575188446045,57.4647397689819,64.7405166625977,1.22,0.75,1.62666666666667,5157844,29,0.000621578701396563,667x685x739,118x121x72,660x666x606,406x409x400,Listronotus.obj,Listronotus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,74.8680801391602,Curculionidae,FALSE,FALSE,Absent,2.97480989544034,1.6722779132749,1.32548723652742,1.42256298174069
Magdalis,518.993256218229,633.171772586239,16.7305221557617,17.3480205535889,8.80292911529541,13.3290033340454,20.4308071136475,23.06803855896,28.7208786010742,20.4112377166748,21.1645850753784,10.7395735206604,16.2613840675354,24.9255846786499,28.1430070419312,35.0394744873047,1.22,0.75,1.62666666666667,1153407,4,2.60098317161894e-06,535x528x704,162x145x81,407x397x472,184x189x293,Magdalis.obj,Magdalis.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,10.0945632457733,Curculionidae,TRUE,TRUE,Present,2.80152154535126,1.32560975869522,1.03098703543231,0.882649528738354
Merhynchites,730.452599420387,891.152171292872,18.373083114624,18.5290584564209,11.8835845947266,15.2209749221802,20.6151084899902,23.5321197509766,40.4420013427734,22.4151611328125,22.6054513168335,14.4979732055664,18.5695894050598,25.1504323577881,28.7091860961914,49.339241027832,1.22,0.75,1.62666666666667,2700449,16,0.000633566985830947,718x1009x1007,133x144x156,459x533x753,244x292x448,Merhynchites.obj,Merhynchites.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,37.9629471302032,Attelabidae,TRUE,TRUE,Present,2.94995186959246,1.35421318212695,1.16130729277548,0.716145704315271
Metapocyrtus_adspersus,839.503424650549,1024.19417807367,33.1338577270508,34.4106140136719,13.1469993591309,23.4759225845337,42.9057922363281,47.7294960021973,64,40.4233055114746,41.9809490966797,16.0393392181396,28.6406255531311,52.3450665283203,58.2299851226807,78.0800018310547,1.22,0.75,1.62666666666667,5620019,79,0.00526006785802591,693x904x929,146x109x146,693x657x787,410x411x481,Metapocyrtus_adspersus.obj,Metapocyrtus_adspersus.tif,diameter_of_largest_inscribed_sphere_containing_voxel,complete_3d_coxa_mask_after_foreground_crop,113.160397768021,Curculionidae,FALSE,FALSE,Absent,3.01038230280314,1.62305225279787,1.20518647243774,1.18914025805944
