trait,node,estimate,variance,CI95_lower,CI95_upper,calibration_scheme
axial_span,17,0.158676357832965,0.000739100759613504,0.105390998885772,0.211961716780158,updated_195Ma_root_sensitivity
axial_span,18,0.159746319803763,0.00066006980785139,0.109390345244214,0.210102294363311,updated_195Ma_root_sensitivity
axial_span,19,0.156183661890703,0.000620448942915602,0.107362389282294,0.205004934499111,updated_195Ma_root_sensitivity
axial_span,20,0.157651210033151,0.000627818647850415,0.108540843331383,0.206761576734919,updated_195Ma_root_sensitivity
axial_span,21,0.163372604438153,0.000646646391699083,0.113531288460832,0.213213920415475,updated_195Ma_root_sensitivity
axial_span,22,0.16836345024637,0.000482812826573616,0.125296365894569,0.211430534598172,updated_195Ma_root_sensitivity
axial_span,23,0.165999032599981,0.000362015105054427,0.12870671130488,0.203291353895083,updated_195Ma_root_sensitivity
axial_span,24,0.173371117401172,0.000387374126375814,0.134794745826264,0.211947488976079,updated_195Ma_root_sensitivity
axial_span,25,0.164802510413275,0.000249183560846621,0.133862834148834,0.195742186677715,updated_195Ma_root_sensitivity
axial_span,26,0.15374862719854,0.000686288956728793,0.102402277219507,0.205094977177573,updated_195Ma_root_sensitivity
axial_span,27,0.119701046448042,0.000737800354326129,0.066462584400578,0.172939508495506,updated_195Ma_root_sensitivity
PC1,16,0.0731534302198734,0.00268093501519965,-0.0283309525904436,0.17463781303019,updated_195Ma_root_sensitivity
PC1,17,0.0690613072406422,0.00220437817570745,-0.0229622723452321,0.161084886826517,updated_195Ma_root_sensitivity
PC1,18,0.0612802118598949,0.00189525109649294,-0.0240473722632202,0.14660779598301,updated_195Ma_root_sensitivity
PC1,19,0.0562733573951284,0.00169196561665323,-0.0243483215314174,0.136895036321674,updated_195Ma_root_sensitivity
PC1,20,0.0510137612163842,0.00155545885418749,-0.0262872784548043,0.128314800887573,updated_195Ma_root_sensitivity
PC1,21,0.0505344695181781,0.00148813332929395,-0.0250751396450468,0.126144078681403,updated_195Ma_root_sensitivity
PC1,22,0.0233200278146526,0.00152836460552384,-0.0533048080323518,0.0999448636616571,updated_195Ma_root_sensitivity
PC1,23,-0.0170178846957599,0.0015972835859361,-0.0953513042798182,0.0613155348882983,updated_195Ma_root_sensitivity
PC1,24,-0.0433144766460412,0.00119748107163983,-0.111139569973007,0.0245106166809242,updated_195Ma_root_sensitivity
PC1,25,-0.0354426160397008,0.000898774336990983,-0.0942025640739236,0.0233173319945219,updated_195Ma_root_sensitivity
PC1,26,-0.0666199370747234,0.000961605363807251,-0.127399071369331,-0.00584080278011589,updated_195Ma_root_sensitivity
PC1,27,-0.0620235006602904,0.000618719807337273,-0.110776695549106,-0.0132703057714744,updated_195Ma_root_sensitivity
PC1,28,-0.0376281736317092,0.00170068379796169,-0.118457295105653,0.043200947842235,updated_195Ma_root_sensitivity
PC1,29,0.205322753411928,0.00182634284502286,0.121560717420437,0.289084789403419,updated_195Ma_root_sensitivity
centroid_size,16,145.550797885345,808.529251340965,89.8188862731323,201.282709497557,updated_195Ma_root_sensitivity
centroid_size,17,148.259981131701,664.806952041835,97.7236339451076,198.796328318295,updated_195Ma_root_sensitivity
centroid_size,18,153.80067994019,571.578923570614,106.941554971953,200.659804908428,updated_195Ma_root_sensitivity
centroid_size,19,162.930179621523,510.271112716775,118.655384233935,207.20497500911,updated_195Ma_root_sensitivity
centroid_size,20,169.355133877623,469.102748010559,126.903925216886,211.806342538359,updated_195Ma_root_sensitivity
centroid_size,21,178.39355609968,448.798393026312,136.871225882676,219.915886316683,updated_195Ma_root_sensitivity
centroid_size,22,187.596738520873,460.93153443639,145.516878935903,229.676598105844,updated_195Ma_root_sensitivity
centroid_size,23,206.863054914495,481.716451385135,163.844896892084,249.881212936906,updated_195Ma_root_sensitivity
centroid_size,24,217.571141109097,361.142089927095,180.323812981244,254.818469236949,updated_195Ma_root_sensitivity
centroid_size,25,209.236982863739,271.056678991406,176.967936735702,241.506028991776,updated_195Ma_root_sensitivity
centroid_size,26,230.50531400482,290.005561670294,197.127396668464,263.883231341176,updated_195Ma_root_sensitivity
centroid_size,27,219.032906665115,186.596489575477,192.259242844989,245.806570485242,updated_195Ma_root_sensitivity
centroid_size,28,196.803753398119,512.900383686202,152.415037332334,241.192469463905,updated_195Ma_root_sensitivity
centroid_size,29,195.64316172415,550.797242307753,149.643784706092,241.642538742208,updated_195Ma_root_sensitivity
