"response","predictor","term","estimate","std_error","t_value","p_value","lambda","logLik","AIC","n","model_fit_strategy","error","p_adj_fdr","calibration_scheme"
"PC2","woody_association_broad","woody_association_broadwoody",0.0708342665885827,0.0534376272161755,1.32555037112766,0.221589936863706,1,11.1864126255532,-18.3728252511065,10,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"abs_winding_angle_deg","woody_association_broad","woody_association_broadwoody",7.38749042413315,58.8377991371156,0.125556878953228,0.90361267001844,1,-52.0455735800512,108.091147160102,9,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"axial_span","woody_association_broad","woody_association_broadwoody",0.0227072500045505,0.0381544021897877,0.595141024398706,0.570479646313855,0,14.1622107221448,-24.3244214442896,9,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"centroid_size","woody_association_broad","woody_association_broadwoody",-48.2662315698033,28.1630011739091,-1.71381704924681,0.124911166512067,0.29320579654188,-51.2656821403476,106.531364280695,10,"lambda_ML",,0.749466999072399,"updated_195Ma_root_sensitivity"
"PC1","larval_lifestyle_broad","larval_lifestyle_broadother",-0.0108855122018882,0.0548111933461952,-0.198600167909752,0.845900489967922,1,13.6275407321686,-23.2550814643373,14,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"PC2","larval_lifestyle_broad","larval_lifestyle_broadother",-0.00140123839212219,0.0496813318879317,-0.0282045255003031,0.977962665150291,1,15.0032533170461,-26.0065066340922,14,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"abs_winding_angle_deg","larval_lifestyle_broad","larval_lifestyle_broadother",32.335253983475,39.7107412174551,0.814269716256563,0.432764889250488,1,-72.4580900935754,148.916180187151,13,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"axial_span","larval_lifestyle_broad","larval_lifestyle_broadother",0.00839019543569194,0.0301492158942532,0.278289009741418,0.785952072882496,0,21.5397010607449,-39.0794021214897,13,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"centroid_size","larval_lifestyle_broad","larval_lifestyle_broadother",-2.68341704226626,29.1213017790954,-0.0921461912184345,0.928102336878936,1,-74.2270901041886,152.454180208377,14,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"PC1","fungal_association_broad","fungal_association_broadyes",0.0160243011426078,0.0691227691880072,0.231823772844275,0.821349927811004,1,10.757695495486,-17.515390990972,12,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"PC2","fungal_association_broad","fungal_association_broadyes",-0.0166612741670375,0.0535603718154154,-0.311074654680461,0.762131556242656,1,13.818592187601,-23.6371843752019,12,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"abs_winding_angle_deg","fungal_association_broad","fungal_association_broadyes",-8.52249502566716,49.8769663082473,-0.170870356729333,0.868105489511552,1,-61.8741757336379,127.748351467276,11,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"axial_span","fungal_association_broad","fungal_association_broadyes",-0.0164241865084942,0.0415111835671002,-0.395656907299342,0.701573288121599,0,17.7864607415153,-31.5729214830305,11,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
"centroid_size","fungal_association_broad","fungal_association_broadyes",-29.0580964770653,33.824329502489,-0.85908861770422,0.410412129031938,1,-63.5589218219842,131.117843643968,12,"lambda_ML",,0.98408107853365,"updated_195Ma_root_sensitivity"
