term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,fdr_p_value,calibration_scheme
fit_radius,0.145195234264835,0.171715833801772,0.84555530524021,0.414343237494202,PC3,fit_radius,14,0,continuous,0.596732536983581,updated_195Ma_root_sensitivity
abs_winding_angle_deg,-0.000229640105478676,0.000197628138699631,-1.16198081401606,0.267833420976479,PC4,abs_winding_angle_deg,14,0.874278248118011,continuous,0.512872508252832,updated_195Ma_root_sensitivity
n_turns_abs,-0.0826704351941824,0.0711461073253394,-1.16198114418466,0.267833291959747,PC4,n_turns_abs,14,0.874278409551691,continuous,0.512872508252832,updated_195Ma_root_sensitivity
start_end_dist,-0.40585518470834,0.263753533645378,-1.53876681422597,0.149803462834949,PC4,start_end_dist,14,0.826056011824503,continuous,0.421322239223293,updated_195Ma_root_sensitivity
axial_span,-0.541099194714811,0.281470933931693,-1.92239812174043,0.0786126787225251,PC4,axial_span,14,0.929372524087561,continuous,0.367798054805105,updated_195Ma_root_sensitivity
fit_radius,-0.00869945135580519,0.124739389493011,-0.0697410127720131,0.945548520515215,PC4,fit_radius,14,0.938175475598203,continuous,0.967038259617833,updated_195Ma_root_sensitivity
abs_winding_angle_deg,-7.23783425781462e-05,8.62374690170985e-05,-0.839291127198962,0.417712775888507,PC5,abs_winding_angle_deg,14,0,continuous,0.596732536983581,updated_195Ma_root_sensitivity
n_turns_abs,-0.0260562148080099,0.0310454774420476,-0.839291805276594,0.417712410162478,PC5,n_turns_abs,14,0,continuous,0.596732536983581,updated_195Ma_root_sensitivity
start_end_dist,-0.0462752830997694,0.182925973010089,-0.252972731746613,0.8045708856185,PC5,start_end_dist,14,0,continuous,0.89435179152997,updated_195Ma_root_sensitivity
axial_span,-0.255144270508507,0.174112130532268,-1.46540203562222,0.168516934367397,PC5,axial_span,14,0,continuous,0.436535616723092,updated_195Ma_root_sensitivity
fit_radius,-0.121746372211477,0.0687967240612095,-1.76965362628542,0.102166126334751,PC5,fit_radius,14,0.421719927348177,continuous,0.367798054805105,updated_195Ma_root_sensitivity
centroid_size,-0.000524064832355797,0.000483669708104164,-1.0835179949763,0.298265931271163,PC1,centroid_size,15,1,continuous,0.543125574826075,updated_195Ma_root_sensitivity
centroid_size,-0.000957871323504951,0.000367671114742166,-2.60523953364319,0.0217882695627354,PC2,centroid_size,15,1,continuous,0.150841866203553,updated_195Ma_root_sensitivity
centroid_size,-0.000288692192196022,0.000358587782269008,-0.805080949410174,0.435250983214173,PC3,centroid_size,15,0,continuous,0.61207169514493,updated_195Ma_root_sensitivity
centroid_size,-0.000287562254351722,0.000332968624887449,-0.863631684363426,0.40344339323787,PC4,centroid_size,15,0.925444831167276,continuous,0.596732536983581,updated_195Ma_root_sensitivity
centroid_size,-0.000277565127176383,0.000180404549721318,-1.53857054938556,0.147887811802473,PC5,centroid_size,15,0,continuous,0.421322239223293,updated_195Ma_root_sensitivity
centroid_size,-0.0163544493732213,0.476904919909069,-0.0342928929656242,0.973207418196112,abs_winding_angle_deg,centroid_size,14,1,continuous,0.973207483399759,updated_195Ma_root_sensitivity
centroid_size,-4.54289304381563e-05,0.00132473632623641,-0.0342928094734295,0.973207483399759,n_turns_abs,centroid_size,14,1,continuous,0.973207483399759,updated_195Ma_root_sensitivity
centroid_size,0.00033582340968145,0.000272019945932467,1.23455435788089,0.240625697534042,start_end_dist,centroid_size,14,0,continuous,0.512872508252832,updated_195Ma_root_sensitivity
centroid_size,0.00019466111672111,0.000274474527426127,0.709213778584617,0.491741928035244,axial_span,centroid_size,14,0,continuous,0.670557174593515,updated_195Ma_root_sensitivity
centroid_size,0.00073190469827886,0.000629234444336208,1.16316693224091,0.267370244117726,fit_radius,centroid_size,14,0,continuous,0.512872508252832,updated_195Ma_root_sensitivity
