quality_set,tree_id,trait,model,logLik,AIC,AICc,converged,delta_AICc,akaike_weight,best_model,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
main_dataset,working_tree,axial_pitch_360,OU,18.8842886751652799,-31.768577350330560,-29.368577350330561,TRUE,0.1579736182492617,0.43685637816148143,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,axial_pitch_360,EB,17.3087292924839460,-28.617458584967892,-26.217458584967893,TRUE,3.3090923836119295,0.09038199744897651,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,fit_radius,BM,33.1130704842579320,-62.226140968515864,-61.135231877606770,TRUE,0.0000000000000000,0.57989106547656488,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,fit_radius,OU,33.1130704842579320,-60.226140968515864,-57.826140968515865,TRUE,3.3090909090909051,0.11086295658909454,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,fit_radius,EB,34.1389126763636597,-62.277825352727319,-59.877825352727321,TRUE,1.2574065248794497,0.30924597793434067,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,centroid_size,BM,-82.4932591195341871,168.986518239068374,169.986518239068374,TRUE,0.0000000000000000,0.47386658131913917,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,centroid_size,OU,-81.0004497125286065,168.000899425057213,170.182717606875400,TRUE,0.1961993678070257,0.42958779135621966,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,working_tree,centroid_size,EB,-82.4932601180718308,170.986520236143662,173.168338417961849,TRUE,3.1818201788934743,0.09654562732464121,BM,NA,data/phylogeny/P01_Trees/01_primary_tree_grafen.tre,working,Topology-based Grafen primary working tree; branch lengths are not interpreted as divergence times.,15,TRUE,TRUE,1.00000000018,7.50000000015000,0
main_dataset,ml_unrooted,PC1,BM,12.3010662916701143,-20.602132583340229,-19.511223492431139,TRUE,0.0000000000000000,0.54284256080680837,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
main_dataset,ml_unrooted,PC1,OU,12.3011594265341522,-18.602318853068304,-16.202318853068306,TRUE,3.3089046393628330,0.10378972889756313,BM,NA,data/phylogeny/P01_Trees/curc_fig1.treefile,existing_file,Imported from phylogeny workflow outputs.,14,TRUE,FALSE,0.41142785540,2.09131592840000,NA
