quality_set,tree_id,trait,method,estimate,statistic,p_value,reason,source_path,variant_group,note,n_tips,is_rooted,is_ultrametric,tree_height,total_branch_length,rf_distance_vs_reference
primary_adequate,ml_unrooted,PC4,Pagel_lambda,7.33137435857406e-05,16.883325254912972,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC5,Blomberg_K,8.28040050940411e-01,NA,2.22000000000000e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,PC5,Pagel_lambda,7.33137435857406e-05,26.174234460998772,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,abs_winding_angle_deg,Blomberg_K,2.13954708790489e+00,NA,1.00000000000000e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,abs_winding_angle_deg,Pagel_lambda,9.99926686256414e-01,-76.174701126458984,3.51545862663261e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,n_turns_abs,Blomberg_K,2.13954708790489e+00,NA,1.00000000000000e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,n_turns_abs,Pagel_lambda,9.99926686256414e-01,0.344651282393034,3.51545862663265e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,start_end_dist,Blomberg_K,6.86852662365834e-01,NA,4.49000000000000e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,start_end_dist,Pagel_lambda,7.33137435857406e-05,18.697490071276775,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,axial_span,Blomberg_K,1.27361131604919e+00,NA,2.60000000000000e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,axial_span,Pagel_lambda,9.99926686256414e-01,17.176759147257091,4.62182067795746e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,axial_pitch_360,Blomberg_K,8.55579735920702e-01,NA,2.09000000000000e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,axial_pitch_360,Pagel_lambda,9.99926686256414e-01,17.855602407745824,1.93392783291319e-01,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,fit_radius,Blomberg_K,9.69827801314249e-01,NA,9.40000000000001e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,fit_radius,Pagel_lambda,9.99926686256414e-01,27.763385971754129,6.33154793687646e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,centroid_size,Blomberg_K,1.58329270736203e+00,NA,8.00000000000000e-03,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,ml_unrooted,centroid_size,Pagel_lambda,9.99926686256414e-01,-69.213393843711074,2.89988332391953e-02,NA,data/phylogeny/P01_Trees/04_ml_unrooted.treefile,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41142785540,1.99742233920000,NA
primary_adequate,consensus_unrooted,PC1,Blomberg_K,1.34019092291222e+00,NA,3.10000000000000e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC1,Pagel_lambda,9.99926686256414e-01,10.686452219011446,2.11891039526906e-02,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC2,Blomberg_K,1.99690209416203e+00,NA,7.00000000000000e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC2,Pagel_lambda,9.99926686256414e-01,12.307881791349981,3.40727063353911e-03,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC3,Blomberg_K,8.36997076561501e-01,NA,1.70000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC3,Pagel_lambda,7.33137435857406e-05,15.784672917759718,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC4,Blomberg_K,6.51300716835694e-01,NA,5.15000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC4,Pagel_lambda,7.33137435857406e-05,16.883315589019833,1.00000000000000e+00,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
primary_adequate,consensus_unrooted,PC5,Blomberg_K,8.28043817348404e-01,NA,2.23000000000000e-01,NA,data/phylogeny/P01_Trees/05_consensus_unrooted.contree,existing_file,Imported from phylogeny workflow outputs.,13,TRUE,FALSE,0.41143131210,1.99744718470000,NA
