quality_set,term,numDF,F-value,p-value,response,predictor,analysis_set
main_dataset,start_end_dist,1,0.014473342063885463,9.06232197614004e-01,PC5,start_end_dist,main_pcm_matrix
main_dataset,(Intercept),1,2.485744059372577,1.40865514603671e-01,PC5,axial_span,main_pcm_matrix
main_dataset,axial_span,1,2.23718790115691,1.60554419488106e-01,PC5,axial_span,main_pcm_matrix
main_dataset,(Intercept),1,1.2570418651257027,2.84147426772129e-01,PC5,axial_pitch_360,main_pcm_matrix
main_dataset,axial_pitch_360,1,1.012241604084885,3.34223478261969e-01,PC5,axial_pitch_360,main_pcm_matrix
main_dataset,(Intercept),1,5.343480202833869e-9,9.99942876508014e-01,PC5,fit_radius,main_pcm_matrix
main_dataset,fit_radius,1,0.004868594297001022,9.45521787097248e-01,PC5,fit_radius,main_pcm_matrix
main_dataset,(Intercept),1,1.94447641273940e+00,1.86556938214109e-01,PC1,log_centroid_size,shape_only
main_dataset,log_centroid_size,1,1.83514219738671e+00,1.98597505423662e-01,PC1,log_centroid_size,shape_only
main_dataset,(Intercept),1,5.71948307656809e+00,3.25967212013079e-02,PC2,log_centroid_size,shape_only
main_dataset,log_centroid_size,1,4.27259646103678e+00,5.92473590456262e-02,PC2,log_centroid_size,shape_only
main_dataset,(Intercept),1,1.00223428631257e-01,7.56587843826227e-01,PC3,log_centroid_size,shape_only
main_dataset,log_centroid_size,1,1.22135971236589e+00,2.89128360514617e-01,PC3,log_centroid_size,shape_only
main_dataset,(Intercept),1,2.31538836162837e-03,9.62353214375249e-01,PC4,log_centroid_size,shape_only
main_dataset,log_centroid_size,1,6.60339417905686e-01,4.31070514357233e-01,PC4,log_centroid_size,shape_only
main_dataset,(Intercept),1,1.13226004284383e+00,3.06659954075510e-01,PC5,log_centroid_size,shape_only
main_dataset,log_centroid_size,1,2.41030320280880e+00,1.44536647066926e-01,PC5,log_centroid_size,shape_only
main_dataset,(Intercept),1,5.81794932187910e+01,6.10449841897735e-06,abs_winding_angle_deg,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,4.51937168856694e+00,5.49565529162695e-02,abs_winding_angle_deg,log_centroid_size,main_dataset
main_dataset,(Intercept),1,5.81794932186429e+01,6.10449841905572e-06,n_turns_abs,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,4.51937168855818e+00,5.49565529164711e-02,n_turns_abs,log_centroid_size,main_dataset
main_dataset,(Intercept),1,3.51124663318132e+02,2.98062610828751e-10,start_end_dist,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,1.10421292509721e+00,3.14045175504829e-01,start_end_dist,log_centroid_size,main_dataset
main_dataset,(Intercept),1,7.79466522267446e+01,1.35180724373671e-06,axial_span,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,4.78350512254057e+00,4.92612636309208e-02,axial_span,log_centroid_size,main_dataset
main_dataset,(Intercept),1,1.71478619859613e+01,1.36838298998491e-03,axial_pitch_360,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,6.62953950255713e+00,2.43301001503516e-02,axial_pitch_360,log_centroid_size,main_dataset
main_dataset,(Intercept),1,1.81049840765552e+02,1.33746588954774e-08,fit_radius,log_centroid_size,main_dataset
main_dataset,log_centroid_size,1,3.43114601812158e-05,9.95422592719232e-01,fit_radius,log_centroid_size,main_dataset
