quality_set,term,estimate,std_error,statistic,p_value,response,predictor,n_taxa,lambda,predictor_type,analysis_set,fdr_family,fdr_p_value
main_dataset,(Intercept),-1.34116146223238e-01,5.97238377895703e-02,-2.24560495753437e+00,4.43470567187736e-02,PC3,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,axial_span,1.05205433330503e+00,2.18152195727896e-01,4.82257045268191e+00,4.17215146160931e-04,PC3,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,6.55623801110034e-03
main_dataset,(Intercept),1.19301313125220e-02,5.57812971358395e-02,2.13873321795826e-01,8.34236717867363e-01,PC3,axial_pitch_360,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.94793792652993e-01
main_dataset,axial_pitch_360,-1.59966639497537e-01,3.49604918019990e-01,-4.57564042301001e-01,6.55439578562797e-01,PC3,axial_pitch_360,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.67003762147954e-01
main_dataset,(Intercept),8.14372684434284e-02,1.49826121422071e-01,5.43545195393624e-01,5.96707799582014e-01,PC3,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,7.21295142351885e-01
main_dataset,fit_radius,-3.97244007393194e-01,6.33226793126484e-01,-6.27332910902030e-01,5.42193805305297e-01,PC3,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,6.78138177729786e-01
main_dataset,(Intercept),1.10484535895207e-01,6.22916363804197e-02,1.77366565264828e+00,1.01473730029679e-01,PC4,abs_winding_angle_deg,14,0.977780002827346,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.37491708580099e-01
main_dataset,abs_winding_angle_deg,-3.63605134627463e-04,1.70263692465257e-04,-2.13554122645178e+00,5.40188059701693e-02,PC4,abs_winding_angle_deg,14,0.977780002827346,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),1.10484535895207e-01,6.22916363804198e-02,1.77366565264828e+00,1.01473730029679e-01,PC4,n_turns_abs,14,0.977780002827346,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.37491708580099e-01
main_dataset,n_turns_abs,-1.30897848465887e-01,6.12949292874924e-02,-2.13554122645178e+00,5.40188059701694e-02,PC4,n_turns_abs,14,0.977780002827346,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),1.09020715251980e-01,6.03628896764216e-02,1.80608840690681e+00,9.60311745309774e-02,PC4,start_end_dist,14,0.954057642597149,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.37491708580099e-01
main_dataset,start_end_dist,-3.02489369610715e-01,1.41517143152236e-01,-2.13747509929107e+00,5.38328880763145e-02,PC4,start_end_dist,14,0.954057642597149,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,(Intercept),6.96899074658974e-02,4.21305726783201e-02,1.65414099632591e+00,1.23999348913464e-01,PC4,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.67449576087863e-01
main_dataset,axial_span,-4.84692872026905e-01,1.53889590441796e-01,-3.14961441274500e+00,8.38092864190538e-03,PC4,axial_span,14,1.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,5.76188844130995e-02
main_dataset,(Intercept),9.76581741592965e-02,4.68464688480943e-02,2.08464323054883e+00,5.91343195378550e-02,PC4,axial_pitch_360,14,0.957009844803901,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,1.77403778122431e-01
main_dataset,axial_pitch_360,-6.09394609287013e-01,2.14271075330157e-01,-2.84403580066994e+00,1.47855496071571e-02,PC4,axial_pitch_360,14,0.957009844803901,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.03561364881824e-02
main_dataset,(Intercept),2.07941054259962e-01,1.50503694104277e-01,1.38163422165498e+00,1.92265861299280e-01,PC4,fit_radius,14,0.793383176022449,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.46708930211816e-01
main_dataset,fit_radius,-8.36754464683091e-01,6.22089044962611e-01,-1.34507185339260e+00,2.03471468495632e-01,PC4,fit_radius,14,0.793383176022449,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,3.52601733847748e-01
main_dataset,(Intercept),3.96397541563251e-02,3.31886771663876e-02,1.19437583961530e+00,2.55405591901817e-01,PC5,abs_winding_angle_deg,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.01351644417143e-01
main_dataset,abs_winding_angle_deg,-1.00473056765956e-04,9.16239318542185e-05,-1.09658093396185e+00,2.94343322634805e-01,PC5,abs_winding_angle_deg,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.31703539864382e-01
main_dataset,(Intercept),3.96397541563250e-02,3.31886771663875e-02,1.19437583961529e+00,2.55405591901818e-01,PC5,n_turns_abs,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.01351644417143e-01
main_dataset,n_turns_abs,-3.61703004357442e-02,3.29846154675187e-02,-1.09658093396185e+00,2.94343322634806e-01,PC5,n_turns_abs,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.31703539864382e-01
main_dataset,(Intercept),1.09154653991560e-02,5.21938390030525e-02,2.09133215867061e-01,8.37852369484166e-01,PC5,start_end_dist,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,8.94793792652993e-01
main_dataset,start_end_dist,-1.87152980271037e-02,1.55565157901096e-01,-1.20305203810498e-01,9.06232197614004e-01,PC5,start_end_dist,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.49386111786100e-01
main_dataset,(Intercept),3.40650309273860e-02,2.16063089836256e-02,1.57662426068248e+00,1.40865514603671e-01,PC5,axial_span,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.76700117971497e-01
main_dataset,axial_span,-1.94258084403611e-01,1.29875690878789e-01,-1.49572320338922e+00,1.60554419488106e-01,PC5,axial_span,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,2.99338748198164e-01
main_dataset,(Intercept),2.73489787079060e-02,2.43930576499951e-02,1.12117878374758e+00,2.84147426772129e-01,PC5,axial_pitch_360,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.28167355410057e-01
main_dataset,axial_pitch_360,-1.53814492920692e-01,1.52881581423538e-01,-1.00610218371937e+00,3.34223478261969e-01,PC5,axial_pitch_360,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,4.83744508010744e-01
main_dataset,(Intercept),5.02372539400511e-06,6.87248482718860e-02,7.30991121890948e-05,9.99942876508014e-01,PC5,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.99942876508014e-01
main_dataset,fit_radius,2.02669001659855e-02,2.90459466388481e-01,6.97753129480694e-02,9.45521787097248e-01,PC5,fit_radius,14,0.000000000000000,continuous,main_pcm_matrix,continuous_trait_matrix_excluding_allometry,9.81201854534880e-01
main_dataset,(Intercept),5.12385814457161e-01,3.25763113621231e-01,1.57287855202943e+00,1.39759900608727e-01,PC1,log_centroid_size,15,1.000000000000000,continuous,shape_only,shape_PC1_to_PC5,NA
main_dataset,log_centroid_size,-8.94751949937734e-02,6.60492351360144e-02,-1.35467420341081e+00,1.98597505423662e-01,PC1,log_centroid_size,15,1.000000000000000,continuous,shape_only,shape_PC1_to_PC5,3.30995842372769e-01
main_dataset,(Intercept),7.06648934666642e-01,2.94611102519260e-01,2.39858216008830e+00,3.21702736973289e-02,PC2,log_centroid_size,15,0.947893677783259,continuous,shape_only,shape_PC1_to_PC5,NA
main_dataset,log_centroid_size,-1.23727593331210e-01,5.98577829565217e-02,-2.06702599428183e+00,5.92473590456262e-02,PC2,log_centroid_size,15,0.947893677783259,continuous,shape_only,shape_PC1_to_PC5,2.96236795228131e-01
main_dataset,(Intercept),3.14075995104990e-01,2.90661890229959e-01,1.08055443682867e+00,2.99534319794050e-01,PC3,log_centroid_size,15,0.000000000000000,continuous,shape_only,shape_PC1_to_PC5,NA
main_dataset,log_centroid_size,-6.21127496898764e-02,5.62029304427937e-02,-1.10515144318138e+00,2.89128360514617e-01,PC3,log_centroid_size,15,0.000000000000000,continuous,shape_only,shape_PC1_to_PC5,3.61410450643272e-01
main_dataset,(Intercept),2.33674200808865e-01,2.87642181349738e-01,8.12378072341016e-01,4.31200355179705e-01,PC4,log_centroid_size,15,0.785609671908022,continuous,shape_only,shape_PC1_to_PC5,NA
main_dataset,log_centroid_size,-4.73894269206670e-02,5.83173586696181e-02,-8.12612710893502e-01,4.31070514357233e-01,PC4,log_centroid_size,15,0.785609671908022,continuous,shape_only,shape_PC1_to_PC5,4.31070514357233e-01
main_dataset,(Intercept),2.41856089137399e-01,1.49061485248432e-01,1.62252568954557e+00,1.28680195941839e-01,PC5,log_centroid_size,15,0.000000000000000,continuous,shape_only,shape_PC1_to_PC5,NA
main_dataset,log_centroid_size,-4.47478475750765e-02,2.88228094866138e-02,-1.55251512160391e+00,1.44536647066926e-01,PC5,log_centroid_size,15,0.000000000000000,continuous,shape_only,shape_PC1_to_PC5,3.30995842372769e-01
main_dataset,(Intercept),-4.86029697287735e+02,3.68120812182567e+02,-1.32029942671834e+00,2.11364580346897e-01,abs_winding_angle_deg,log_centroid_size,14,0.626206498191809,continuous,main_dataset,main_geometry_traits,NA
