"specimen_id";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"cluster_kmeans";"cluster_hclust";"cluster_mclust"
"p_pollinarius_trochanter_aligned";-0,056918407532713;0,0242568909756774;-0,059484974464235;0,0259948984134259;-0,00795487791356404;0,0415208419375122;"1";"1";"1"
"phyllobius_trochanter_aligned";-0,0259274579597898;-0,038563786937164;-0,0222708718319602;-0,0394884786472166;0,0376702353678872;-0,0297802716363301;"1";"1";"7"
"polydrusus_marginatus_trochanter_aligned";-0,0506846765702704;-0,081107804085691;0,000798523187577542;-0,0714692344946881;0,00765531376098117;-0,0453707173492993;"1";"1";"7"
"protapion_trochanter_aligned";0,306291645524178;-0,118665042631911;0,0220971107172525;0,00975694393452511;0,0154136816845392;0,0414414446529589;"2";"3";"4"
"rhinusa_tetra_trochanter_mirrored_aligned";0,0175221879099229;0,0150032611797372;0,0379048117604592;-0,0238346233294953;-0,017526239999456;-0,0253096019522165;"1";"1";"1"
"rynchites_cupreus_trochanter_aligned";0,0401377932631051;0,0473798260390129;-0,148229351783375;-0,0693692493998171;0,0129292461783816;0,0500950999812465;"1";"1";"5"
"s_capitatum_trochanter_aligned";-0,0742068952849988;-0,0753119588700183;-0,0173333955154144;-0,0557949367743788;0,0321456913894031;0,00221636630017936;"1";"1";"7"
"s_melanogtammum_trochanter_aligned";-0,0827832029449011;-0,0775744545914627;0,00132023350805362;-0,0609812223812935;0,042113012163484;0,00823841040264362;"1";"1";"7"
"scolytus_carpini_trochanter_aligned";0,0127153017270016;-0,0385512951887486;-0,0100682492339698;0,09389723110689;-0,00946403305939311;-0,0965290092391103;"1";"1";"3"
"sibinia_pellucens_trochanter_aligned";-0,0876222515457755;-0,00594984419091435;0,000427320191268645;-0,0299772910400524;-0,000750931598435987;-0,00550097096459569;"1";"1";"6"
"sitona_trochanter_aligned";-0,0640463834142118;-0,0638710288536071;-0,00199800058824359;-0,0555652518938659;0,0530246958780981;-0,00788938063502216;"1";"1";"7"
"t_plicicollis_trochanter_aligned";-0,22230192273396;-0,0635639800268776;0,254781601944702;0,0749235542657725;0,144330081957841;0,0449936227812567;"1";"1";"8"
"t_pseudonasutus_trochanter_aligned";-0,223718314104746;-0,0664906030630691;0,137091876702735;0,0611378636914858;0,103217342238505;0,0794328549797733;"1";"1";"8"
"u_rufipes_trochanter_mirrored_aligned";0,041772632395088;0,220584278641729;0,165072003118654;-0,223292126487745;-0,200314594022734;-0,0587066772323461;"3";"2";"2"
"xylocleptes_bispinus_trochanter_aligned";-0,06221341643961;-0,0221128337690849;-0,0349937278547489;0,0948781367869411;-0,00946923066609489;-0,134146896800288;"1";"1";"3"
"xylosandrus_germanus_trochanter_aligned";-0,00621241224271977;0,00123927361227678;-0,0630115708287837;0,083881005321882;0,00155117067042129;-0,102930213163882;"1";"1";"3"
